reservation_status_date,reservation_status_date,proportion
2016-07-11,130,0.12634361575990827
2016-07-12,123,0.11954049798822089
2016-07-13,206,0.20020603728108538
2016-07-14,116,0.11273738021653351
2016-07-15,111,0.10787801037961398
2016-07-16,143,0.1389779773358991
2016-07-17,128,0.12439986782514043
2016-07-18,184,0.1788248099986394
2016-07-19,145,0.14092172527066688
2016-07-20,130,0.12634361575990827
2016-07-21,160,0.15549983478142554
2016-07-22,114,0.11079363228176571
2016-07-23,146,0.1418935992380508
2016-07-24,139,0.13509048146636346
2016-07-25,142,0.13800610336851518
2016-07-26,112,0.10884988434699788
2016-07-27,107,0.10399051451007835
2016-07-28,141,0.13703422940113125
2016-07-29,125,0.1214842459229887
2016-07-30,159,0.15452796081404163
2016-07-31,111,0.10787801037961398
2016-08-01,180,0.17493731412910374
2016-08-02,130,0.12634361575990827
2016-08-03,143,0.1389779773358991
2016-08-04,123,0.11954049798822089
2016-08-05,107,0.10399051451007835
2016-08-06,126,0.12245611989037263
2016-08-07,110,0.10690613641223007
2016-08-08,177,0.17202169222695202
2016-08-09,115,0.1117655062491496
2016-08-10,113,0.10982175831438178
2016-08-11,182,0.17688106206387155
2016-08-12,133,0.12925923766206
2016-08-13,130,0.12634361575990827
2016-08-14,106,0.10301864054269441
2016-08-15,145,0.14092172527066688
2016-08-16,124,0.1205123719556048
2016-08-17,130,0.12634361575990827
2016-08-18,181,0.17590918809648765
2016-08-19,122,0.11856862402083697
2016-08-20,173,0.16813419635741636
2016-08-21,129,0.12537174179252433
2016-08-22,139,0.13509048146636346
2016-08-23,126,0.12245611989037263
2016-08-24,150,0.14578109510758644
2016-08-25,113,0.10982175831438178
2016-08-26,131,0.12731548972729217
2016-08-27,88,0.08552490912978404
2016-08-28,127,0.12342799385775653
2016-08-29,146,0.1418935992380508
2016-08-30,163,0.15841545668357726
2016-08-31,146,0.1418935992380508
2016-09-01,121,0.11759675005345308
2016-09-02,182,0.17688106206387155
2016-09-03,137,0.13314673353159562
2016-09-04,122,0.11856862402083697
2016-09-05,169,0.16424670048788073
2016-09-06,255,0.24782786168289694
2016-09-07,90,0.08746865706455187
2016-09-08,117,0.11370925418391743
2016-09-09,124,0.1205123719556048
2016-09-10,95,0.09232802690147142
2016-09-11,153,0.1486967170097382
2016-09-12,151,0.14675296907497035
2016-09-13,154,0.14966859097712207
2016-09-14,110,0.10690613641223007
2016-09-15,231,0.22450288646568314
2016-09-16,128,0.12439986782514043
2016-09-17,114,0.11079363228176571
2016-09-18,146,0.1418935992380508
2016-09-19,142,0.13800610336851518
2016-09-20,268,0.2604622232588878
2016-09-21,149,0.14480922114020253
2016-09-22,146,0.1418935992380508
2016-09-23,121,0.11759675005345308
2016-09-24,74,0.07191867358640931
2016-09-25,216,0.20992477695492448
2016-09-26,179,0.17396544016171983
2016-09-27,127,0.12342799385775653
2016-09-28,119,0.11565300211868525
2016-09-29,171,0.16619044842264855
2016-09-30,121,0.11759675005345308
2016-10-01,83,0.0806655392928645
2016-10-02,150,0.14578109510758644
2016-10-03,121,0.11759675005345308
2016-10-04,111,0.10787801037961398
2016-10-05,132,0.12828736369467605
2016-10-06,197,0.19145917157463022
2016-10-07,212,0.20603728108538882
2016-10-08,95,0.09232802690147142
2016-10-09,169,0.16424670048788073
2016-10-10,189,0.18368417983555893
2016-10-11,129,0.12537174179252433
2016-10-12,135,0.1312029855968278
2016-10-13,159,0.15452796081404163
2016-10-14,130,0.12634361575990827
2016-10-15,78,0.07580616945594496
2016-10-16,184,0.1788248099986394
2016-10-17,114,0.11079363228176571
2016-10-18,132,0.12828736369467605
2016-10-19,106,0.10301864054269441
2016-10-20,136,0.1321748595642117
2016-10-21,162,0.15744358271619338
2016-10-22,93,0.09038427896670359
2016-10-23,127,0.12342799385775653
2016-10-24,100,0.09718739673839097
2016-10-25,152,0.14772484304235428
2016-10-26,140,0.13606235543374734
2016-10-27,163,0.15841545668357726
2016-10-28,196,0.19048729760724628
2016-10-29,144,0.139949851303283
2016-10-30,112,0.10884988434699788
2016-10-31,117,0.11370925418391743
2016-11-01,147,0.14286547320543472
2016-11-02,141,0.13703422940113125
2016-11-03,104,0.10107489260792661
2016-11-04,134,0.1302311116294439
2016-11-05,131,0.12731548972729217
2016-11-06,173,0.16813419635741636
2016-11-07,138,0.13411860749897953
2016-11-08,65,0.06317180787995413
2016-11-09,92,0.0894124049993197
2016-11-10,130,0.12634361575990827
2016-11-11,124,0.1205123719556048
2016-11-12,112,0.10884988434699788
2016-11-13,131,0.12731548972729217
2016-11-14,138,0.13411860749897953
2016-11-15,106,0.10301864054269441
2016-11-16,94,0.09135615293408751
2016-11-17,118,0.11468112815130134
2016-11-18,111,0.10787801037961398
2016-11-19,113,0.10982175831438178
2016-11-20,161,0.15647170874880947
2016-11-21,308,0.29933718195424414
2016-11-22,94,0.09135615293408751
2016-11-23,83,0.0806655392928645
2016-11-24,111,0.10787801037961398
2016-11-25,552,0.5364744299959181
2016-11-26,100,0.09718739673839097
2016-11-27,159,0.15452796081404163
2016-11-28,84,0.08163741326024841
2016-11-29,81,0.07872179135809669
2016-11-30,88,0.08552490912978404
2016-12-01,48,0.04664995043442766
2016-12-02,104,0.10107489260792661
2016-12-03,90,0.08746865706455187
2016-12-04,112,0.10884988434699788
2016-12-05,83,0.0806655392928645
2016-12-06,111,0.10787801037961398
2016-12-07,329,0.3197465352693063
2016-12-08,146,0.1418935992380508
2016-12-09,188,0.18271230586817502
2016-12-10,68,0.06608742978210586
2016-12-11,190,0.18465605380294284
2016-12-12,217,0.21089665092230842
2016-12-13,153,0.1486967170097382
2016-12-14,62,0.0602561859778024
2016-12-15,111,0.10787801037961398
2016-12-16,99,0.09621552277100706
2016-12-17,75,0.07289054755379322
2016-12-18,87,0.08455303516240015
2016-12-19,80,0.07774991739071277
2016-12-20,76,0.07386242152117714
2016-12-21,153,0.1486967170097382
2016-12-22,101,0.09815927070577488
2016-12-23,110,0.10690613641223007
2016-12-24,52,0.050537446303963306
2016-12-25,39,0.03790308472797248
2016-12-26,83,0.0806655392928645
2016-12-27,162,0.15744358271619338
2016-12-28,140,0.13606235543374734
2016-12-29,132,0.12828736369467605
2016-12-30,117,0.11370925418391743
2016-12-31,69,0.06705930374948976
2017-01-01,100,0.09718739673839097
2017-01-02,141,0.13703422940113125
2017-01-03,143,0.1389779773358991
2017-01-04,95,0.09232802690147142
2017-01-05,131,0.12731548972729217
2017-01-06,189,0.18368417983555893
2017-01-07,107,0.10399051451007835
2017-01-08,123,0.11954049798822089
2017-01-09,135,0.1312029855968278
2017-01-10,164,0.15938733065096117
2017-01-11,122,0.11856862402083697
2017-01-12,165,0.1603592046183451
2017-01-13,82,0.07969366532548058
2017-01-14,93,0.09038427896670359
2017-01-15,157,0.15258421287927382
2017-01-16,83,0.0806655392928645
2017-01-17,95,0.09232802690147142
2017-01-18,107,0.10399051451007835
2017-01-19,155,0.150640464944506
2017-01-20,204,0.19826228934631757
2017-01-21,95,0.09232802690147142
2017-01-22,103,0.10010301864054269
2017-01-23,114,0.11079363228176571
2017-01-24,323,0.3139152914650028
2017-01-25,128,0.12439986782514043
2017-01-26,130,0.12634361575990827
2017-01-27,124,0.1205123719556048
2017-01-28,89,0.08649678309716796
2017-01-29,155,0.150640464944506
2017-01-30,119,0.11565300211868525
2017-01-31,89,0.08649678309716796
2017-02-01,104,0.10107489260792661
2017-02-02,142,0.13800610336851518
2017-02-03,84,0.08163741326024841
2017-02-04,82,0.07969366532548058
2017-02-05,142,0.13800610336851518
2017-02-06,159,0.15452796081404163
2017-02-07,103,0.10010301864054269
2017-02-08,100,0.09718739673839097
2017-02-09,171,0.16619044842264855
2017-02-10,154,0.14966859097712207
2017-02-11,93,0.09038427896670359
2017-02-12,168,0.16327482652049682
2017-02-13,129,0.12537174179252433
2017-02-14,114,0.11079363228176571
2017-02-15,204,0.19826228934631757
2017-02-16,125,0.1214842459229887
2017-02-17,181,0.17590918809648765
2017-02-18,92,0.0894124049993197
2017-02-19,132,0.12828736369467605
2017-02-20,106,0.10301864054269441
2017-02-21,148,0.14383734717281862
2017-02-22,110,0.10690613641223007
2017-02-23,156,0.1516123389118899
2017-02-24,152,0.14772484304235428
2017-02-25,170,0.16521857445526464
2017-02-26,161,0.15647170874880947
2017-02-27,117,0.11370925418391743
2017-02-28,203,0.19729041537893366
2017-03-01,155,0.150640464944506
2017-03-02,149,0.14480922114020253
2017-03-03,118,0.11468112815130134
2017-03-04,95,0.09232802690147142
2017-03-05,149,0.14480922114020253
2017-03-06,140,0.13606235543374734
2017-03-07,138,0.13411860749897953
2017-03-08,139,0.13509048146636346
2017-03-09,106,0.10301864054269441
2017-03-10,155,0.150640464944506
2017-03-11,102,0.09913114467315878
2017-03-12,163,0.15841545668357726
2017-03-13,173,0.16813419635741636
2017-03-14,99,0.09621552277100706
2017-03-15,120,0.11662487608606917
2017-03-16,119,0.11565300211868525
2017-03-17,111,0.10787801037961398
2017-03-18,111,0.10787801037961398
2017-03-19,142,0.13800610336851518
2017-03-20,176,0.17104981825956808
2017-03-21,99,0.09621552277100706
2017-03-22,129,0.12537174179252433
2017-03-23,103,0.10010301864054269
2017-03-24,130,0.12634361575990827
2017-03-25,100,0.09718739673839097
2017-03-26,213,0.20700915505277276
2017-03-27,115,0.1117655062491496
2017-03-28,117,0.11370925418391743
2017-03-29,147,0.14286547320543472
2017-03-30,111,0.10787801037961398
2017-03-31,151,0.14675296907497035
2017-04-01,121,0.11759675005345308
2017-04-02,138,0.13411860749897953
2017-04-03,159,0.15452796081404163
2017-04-04,137,0.13314673353159562
2017-04-05,189,0.18368417983555893
2017-04-06,125,0.1214842459229887
